3PBL_A_ETQ_0274,-725.450,-10.458,0.281
3PBL_A_ETQ_0275,-746.264,-11.425,0.317
3PBL_A_ETQ_0276,-744.020,-11.836,0.278
3PBL_A_ETQ_0277,-747.018,-10.545,1.006
3PBL_A_ETQ_0278,-730.171,-10.875,0.382
3PBL_A_ETQ_0279,-670.253,4.173,2.874
3PBL_A_ETQ_0280,-698.601,-9.300,6.880
3PBL_A_ETQ_0281,-736.695,-11.667,0.325
3PBL_A_ETQ_0282,-731.992,-11.776,0.233
3PBL_A_ETQ_0283,-739.759,-11.333,0.348
3PBL_A_ETQ_0284,-727.674,-11.593,0.335
3PBL_A_ETQ_0285,-733.729,-12.137,0.406
3PBL_A_ETQ_0286,-734.583,-11.677,0.330
3PBL_A_ETQ_0287,-733.426,-11.457,0.302
3PBL_A_ETQ_0288,-734.801,-11.843,0.294
3PBL_A_ETQ_0289,-727.644,-11.617,0.350
3PBL_A_ETQ_0290,-735.814,-11.395,0.399
3PBL_A_ETQ_0291,-741.492,-11.729,0.335
3PBL_A_ETQ_0292,-742.063,-12.330,0.329
3PBL_A_ETQ_0293,-724.145,-11.365,0.389
3PBL_A_ETQ_0294,-734.359,-11.176,0.353
3PBL_A_ETQ_0295,-731.241,-11.633,0.389
3PBL_A_ETQ_0296,-727.532,-11.700,0.301
3PBL_A_ETQ_0297,-730.161,-11.467,0.265
3PBL_A_ETQ_0298,-737.111,-11.734,0.376
3PBL_A_ETQ_0299,-728.089,-11.628,0.372
3PBL_A_ETQ_0300,-737.726,-12.260,0.374
3PBL_A_ETQ_0301,-739.188,-11.158,0.387
3PBL_A_ETQ_0302,-728.928,-11.772,0.271
3PBL_A_ETQ_0303,-734.702,-11.357,0.298
3PBL_A_ETQ_0304,-736.581,-11.492,0.338
3PBL_A_ETQ_0305,-742.186,-11.244,0.324
3PBL_A_ETQ_0306,-739.653,-11.565,0.287
3PBL_A_ETQ_0307,-718.830,-2.279,7.033
3PBL_A_ETQ_0308,-733.343,-11.417,0.391
3PBL_A_ETQ_0309,-741.512,-11.886,0.236
3PBL_A_ETQ_0310,-742.324,-11.681,0.364
3PBL_A_ETQ_0311,-739.846,-11.770,0.367
3PBL_A_ETQ_0312,-734.744,-11.052,0.402
3PBL_A_ETQ_0313,-725.738,-11.226,0.402
3PBL_A_ETQ_0314,-748.131,-11.431,0.359
3PBL_A_ETQ_0315,-735.796,-11.108,0.367
3PBL_A_ETQ_0316,-739.419,-12.057,0.310
